region,latitude,longitude,pollution_level,oxygen_level
Ahmedabad,23.19463554740588,72.83301961532871,166,9.9
Hyderabad,17.252783132719255,78.61900583059358,125,16.5
Hyderabad,17.42077468407476,78.07698977005441,152,13.8
Jaipur,26.733180064971737,75.47381851039985,198,5.699999999999999
Kolkata,22.663492943188242,88.54146436184229,178,8.2
Surat,21.182293058299283,72.55759577519794,156,12.9
Ahmedabad,22.69686642900499,72.76233773810246,188,7.699999999999999
Mumbai,19.413710105907327,73.05339011703929,154,12.6
Mumbai,19.500693618278564,73.25503935338098,164,11.6
Ahmedabad,23.18248404603418,72.88862220020121,151,11.4
Delhi,28.2070027678059,77.60621575795334,216,3.4000000000000004
Ahmedabad,22.861529791048703,72.42060957461266,165,10.0
Kolkata,22.928924291878094,88.26840812712219,192,6.800000000000001
Pune,18.87132844876751,74.29233499422095,145,15.0
Hyderabad,17.55398825471423,78.56738662143646,144,14.6
Kolkata,23.04626383675532,88.14782097473747,177,8.3
Mumbai,19.267895197692695,73.0296612595026,165,11.5
Delhi,28.13197536361552,77.20289371518344,199,5.1
Pune,18.670032899047214,74.20592341049418,126,16.9
Delhi,28.6564402305549,77.21781407683876,201,4.9
Ahmedabad,22.772961818605584,72.66127084756054,187,7.800000000000001
Kolkata,22.964646555177115,88.49503862599727,193,6.699999999999999
Chennai,13.085337093105194,80.34760388462637,172,9.8
Chennai,12.812885268241557,80.26989337988476,143,12.7
Kolkata,22.841154014306312,87.90750377175443,187,7.300000000000001
Chennai,13.46619402226626,80.51841877389742,176,9.4
Pune,18.35115030467051,73.9094649668355,140,15.5
Kolkata,23.052931583716045,87.93924625600613,180,8.0
Ahmedabad,22.79097485689016,72.55667987427631,167,9.8
Jaipur,26.807091466809474,76.13151314072631,172,8.3
Pune,18.090816130849543,73.56561871761537,131,16.4
Ahmedabad,22.662584015236526,72.58972965236373,151,11.4
Surat,21.410968617754207,73.02811574099528,163,12.2
Surat,21.479561155478514,73.14121339467918,149,13.6
Pune,18.93364055255647,73.86804239886094,145,15.0
Bangalore,13.121563930777766,77.7965668772577,115,18.5
Kolkata,22.41059515685154,88.23948295263995,161,9.9
Ahmedabad,23.1945261352952,72.39955266747472,171,9.4
Surat,21.530604618311678,72.58135136051587,130,15.5
Hyderabad,17.422082427196656,78.31335124179604,127,16.3
Chennai,12.854242915819743,80.73595183039077,178,9.2
Bangalore,13.313623075011982,77.28898003399487,129,17.1
Kolkata,22.710029901498206,88.58999133372266,172,8.8
Mumbai,19.092300348301197,72.70065647294125,146,13.4
Pune,18.291232251262073,73.79567142070565,135,16.0
Chennai,12.76703367433137,79.8515729666172,148,12.2
Chennai,12.640893595508444,80.68591372762648,173,9.7
Hyderabad,17.599595922700065,78.64689737671773,120,17.0
Ahmedabad,23.17961132850017,72.50707289867789,178,8.7
Ahmedabad,22.57021612769165,72.63743721049407,186,7.9
Hyderabad,16.89939348862976,78.10277264050691,124,16.6
Delhi,28.425313309391296,77.6885105286215,184,6.6
Surat,21.43356442300391,73.13801297705079,160,12.5
Delhi,28.578573812939613,77.35877368264276,189,6.1
Hyderabad,17.520093650867647,78.03200400977204,150,14.0
Surat,21.29605991571424,72.83423625858009,125,16.0
Pune,18.679093631618944,73.51963442708143,133,16.2
Ahmedabad,23.466751597125167,72.938598933555,181,8.4
Bangalore,13.04707417787588,77.48276992620652,132,16.8
Delhi,28.925104176736003,77.52963947574396,191,5.9
Kolkata,22.89302684377127,88.51538477185778,188,7.199999999999999
Mumbai,18.614963132310233,72.9959538843379,152,12.8
Delhi,28.769622635380742,77.09439662096557,189,6.1
Surat,21.01082456946424,72.59179452823591,131,15.4
Bangalore,13.164490358691939,77.4429366044532,110,19.0
Pune,18.755471043803883,74.16018093038485,145,15.0
Surat,21.09367094230812,72.89962028374997,159,12.6
Delhi,28.84554775529964,76.83668972942247,218,3.1999999999999993
Pune,18.887516607209722,73.91856669214377,121,17.4
Delhi,28.793744779900248,77.44890876044738,214,3.5999999999999996
Jaipur,26.790128886176298,75.82162747353057,189,6.6
Jaipur,26.732449601030613,76.1828232284962,205,5.0
Jaipur,27.25954314409559,75.64220519046272,197,5.800000000000001
Bangalore,13.045037888123286,77.7264372121698,104,19.6
Kolkata,22.675040925901122,88.4176030523458,180,8.0
Bangalore,13.41779454288169,77.8758960504712,138,16.2
Chennai,13.077120304702582,79.82825876001665,170,10.0
Surat,21.11173050137338,73.2188041827583,135,15.0
Mumbai,19.544651943974134,73.06573001017505,146,13.4
Hyderabad,16.969106806115,78.68766913145912,128,16.2
Mumbai,19.467896908776776,72.52430482169203,158,12.2
Chennai,12.815928072424528,80.35200541722679,140,13.0
Hyderabad,17.697799567257505,78.93394857738386,144,14.6
Bangalore,12.821818246700314,77.8027811955832,118,18.2
Hyderabad,17.59008436429666,78.23542415443029,138,15.2
Ahmedabad,22.956951844488273,72.32508217387314,177,8.8
Surat,21.41117386091067,73.09829485310858,163,12.2
Delhi,28.79493942709691,76.94650647129248,204,4.6
Pune,18.548770121297206,73.79303583160656,141,15.4
Chennai,12.626100783298174,80.69534333022361,176,9.4
Bangalore,13.025454284401322,78.06390253561909,117,18.3
Jaipur,26.629209106586494,75.58179394683943,170,8.5
Chennai,13.279625055863816,80.15490183137922,162,10.8
Jaipur,27.32765434166911,76.24600240740784,185,7.0
Pune,18.414921798608127,73.46345606593589,117,17.8
Surat,20.85832115972376,72.79479840493998,152,13.3
Chennai,13.557094807666168,80.75691074447961,156,11.4
Jaipur,26.72192761628633,76.10109501970695,197,5.800000000000001
Kolkata,22.89513724292317,88.81369991329193,164,9.6
Jaipur,26.83064303629062,76.22002848335401,174,8.1
Ahmedabad,22.93375511658537,72.84900228373522,167,9.8
Delhi,28.49063896993794,77.45857829997607,204,4.6
Hyderabad,17.714164220706515,78.55578146916575,152,13.8
Mumbai,18.612821867635994,72.51155211880064,150,13.0
Ahmedabad,23.387222376255053,72.88430100913007,180,8.5
Chennai,13.579336837073907,80.32613170560263,176,9.4
Chennai,13.52746572988243,80.62034739067742,156,11.4
Chennai,13.033244135310094,79.8998594151515,152,11.8
Bangalore,12.700242805503462,77.76630068440586,131,16.9
Mumbai,18.93416271803284,72.49125759219963,155,12.5
Surat,21.190507700903794,73.10341839173564,136,14.9
Delhi,28.665806838774486,77.26993797153538,209,4.1
Jaipur,27.002355897137637,75.76734596701847,192,6.300000000000001
Chennai,13.203009551353466,80.47477976809922,178,9.2
Hyderabad,17.502263712097292,78.96716272509238,153,13.7
Mumbai,18.968244045099734,72.81517492202373,163,11.7
Bangalore,13.019046306899112,77.5455104474161,114,18.6
Ahmedabad,23.046102276015013,72.76904187149346,178,8.7
Bangalore,12.930946807946173,77.93669141501871,116,18.4
Bangalore,12.930735756238262,78.07463257528548,101,19.9
Kolkata,22.60986341671407,88.32401915898357,175,8.5
Hyderabad,17.582667573696934,78.1667672723493,123,16.7
Pune,18.432061214357528,74.23101760485442,136,15.9
Mumbai,19.17793539554096,72.60154906590633,150,13.0
Chennai,12.927782627822388,80.11831921448268,161,10.9
Chennai,13.131415309207409,80.30512350373253,151,11.9
Surat,21.564417262895926,72.45984839829966,150,13.5
Jaipur,26.504690586228747,75.7684453940563,191,6.4
Pune,18.893978624106776,74.27757240053182,126,16.9
Surat,21.53850110703559,72.4156170076807,159,12.6
Bangalore,12.68094932333671,77.46507210279138,121,17.9
Surat,21.430155408937587,72.86236575397353,126,15.9
Surat,20.706883202890598,72.58353694434403,131,15.4
Kolkata,22.9678068376872,88.37557744211567,177,8.3
Surat,21.024346670793125,72.72826383250408,149,13.6
Ahmedabad,22.899784163104624,72.09147119777772,166,9.9
Ahmedabad,22.611704328712058,72.60673556401552,174,9.1
Delhi,28.456826864278263,77.18296994143056,189,6.1
Kolkata,22.721422840291577,88.34348210175425,195,6.5
Hyderabad,17.47184111802088,78.73213947418432,138,15.2
Surat,20.953975905798725,72.69418229639864,150,13.5
Mumbai,18.820353155464655,72.87594769784894,135,14.5
Chennai,13.516391823759875,79.77823436313408,160,11.0
Hyderabad,17.25035681967406,78.47450980080873,149,14.1
Pune,18.917165424626425,73.43693374566165,140,15.5
Pune,18.71736146236642,74.3539555347684,115,18.0
Mumbai,19.15199841780566,73.29509561308554,144,13.6
Hyderabad,17.860067162945143,78.47744877925878,157,13.3
Kolkata,22.893461473153355,88.58235727083655,170,9.0
Pune,18.49701948412641,74.19528255870263,114,18.1
Hyderabad,17.852994066504237,78.69765247883674,139,15.1
Delhi,28.85014718369849,77.23884002318113,180,7.0
Surat,21.43797950144284,72.41839017958968,135,15.0
Bangalore,12.792242192159515,77.68848309755789,105,19.5
Mumbai,19.0302679722191,72.92630311793816,139,14.1
Mumbai,18.898353844974725,73.18757444585464,130,15.0
Chennai,12.585410899414331,79.88739606414168,154,11.6
Pune,18.626501881055837,74.15098944996646,140,15.5
Delhi,28.964627460016455,77.45497452554872,193,5.699999999999999
Chennai,13.313567475203644,80.70904045682104,151,11.9
Kolkata,22.139096267366778,88.60502064929005,181,7.9
Pune,18.84834088717749,74.10720192476532,139,15.6
Kolkata,22.236865797930996,88.67847472023138,173,8.7
Surat,21.578066130462517,72.6472965822965,149,13.6
Mumbai,19.392599439471578,72.81683490857023,143,13.7
Kolkata,22.69670154418184,88.40368106191464,174,8.6
Delhi,28.346112695146818,77.60857457327457,181,6.9
Chennai,13.489172110964548,80.39493799591399,145,12.5
Hyderabad,17.217815785912485,78.7172491368093,134,15.6
Delhi,28.64736109197632,77.60289258305096,215,3.5
Hyderabad,17.637403120038826,78.69368046124346,146,14.4
Ahmedabad,22.665627985548472,72.27594459316946,151,11.4
Surat,21.164181487130865,73.08573529186012,162,12.3
Bangalore,12.928600219281678,77.69855787207251,114,18.6
Pune,18.170317427348774,73.58595139523264,121,17.4
Mumbai,18.588203072318045,72.97614270120523,165,11.5
Bangalore,13.187779074732953,77.69362936477732,119,18.1
Surat,21.012724257178544,72.55845098303,147,13.8
Surat,21.617483339611816,72.48445140311608,137,14.8
Pune,18.526288678884466,73.96815423543465,149,14.6
Bangalore,13.390350522260746,77.88468463712408,136,16.4
Pune,18.671767210988246,74.12794666851974,140,15.5
Surat,20.73912153936722,72.4084210654888,138,14.7
Pune,18.860839631980422,74.26738619825572,110,18.5
Chennai,13.567541198962335,80.60959808644594,162,10.8
Jaipur,26.74454641265494,75.59874426404565,209,4.6
Chennai,12.96200569838555,80.5149496518433,149,12.1
Bangalore,13.259389888714493,77.69832153173014,134,16.6
Bangalore,13.008995602937924,78.01445561641276,101,19.9
Ahmedabad,22.869453201896228,72.80890124810975,166,9.9
Kolkata,22.320826442757152,88.44153195409154,165,9.5
Chennai,13.4975459010681,80.13309389911664,161,10.9
Surat,20.683294456588335,72.99463737201671,131,15.4
Delhi,29.074970317469457,76.85766272775312,201,4.9
Pune,18.52259501033124,73.95208501732004,122,17.3
Ahmedabad,22.94928890533675,72.87118202207427,181,8.4
Delhi,28.150449667848097,77.18106694511,219,3.0999999999999996
Kolkata,22.138308639428352,88.63942761669502,161,9.9
Hyderabad,17.32576274693823,78.38746306087532,157,13.3
Kolkata,22.227840245930715,88.04582813049527,188,7.199999999999999
Ahmedabad,23.468615462133634,72.44470931627976,159,10.6
Kolkata,22.716599543239017,88.27263417109809,182,7.800000000000001
Ahmedabad,22.67865259736619,72.78737222884739,178,8.7
Pune,18.04749599250348,73.57867216193296,133,16.2
Ahmedabad,23.19439274359873,72.09111053775436,186,7.9
Kolkata,22.960060482513505,88.42062158478336,167,9.3
Mumbai,19.381314967357905,73.36642878195545,161,11.9
Pune,18.827250148962584,74.31934931855488,146,14.9
Hyderabad,17.08998429541582,78.27984773026101,137,15.3
Ahmedabad,23.15574077491096,72.807304613196,170,9.5
Kolkata,22.19537688966271,88.7403440758753,188,7.199999999999999
Mumbai,19.468671711076976,73.19514356173845,149,13.1
Surat,21.495307331422662,72.6941592121951,136,14.9
Bangalore,13.095748907849135,77.50401165219124,129,17.1
Jaipur,26.84852652913532,75.58176575954192,191,6.4
Pune,18.134637925920394,73.92247661996656,132,16.3
Delhi,28.59867836715035,77.22145765588192,188,6.199999999999999
Pune,18.719245853160903,73.75925004359698,118,17.7
Hyderabad,17.530054167769332,78.40840393455328,145,14.5
Surat,21.57077230123639,73.02232185760965,161,12.4
Hyderabad,17.7992988065605,78.10445108289014,155,13.5
Jaipur,26.686455220687208,75.8414780025158,194,6.1
Hyderabad,17.714741803707202,78.1931212717606,141,14.9
Chennai,12.846383802634618,80.03719839337089,166,10.4
Pune,18.271130660561596,73.98979806335745,116,17.9
Surat,21.584611945924962,72.74987052489207,152,13.3
Surat,21.09223605955069,72.68497137656125,125,16.0
Kolkata,22.16293696057761,88.63488592553549,188,7.199999999999999
Chennai,13.41977899070303,80.20789339635725,175,9.5
Delhi,28.835432861121905,77.31940466700796,213,3.6999999999999993
Ahmedabad,23.186171165362648,73.00822973932476,154,11.1
Pune,18.235340378590756,73.38788313506129,129,16.6
Kolkata,22.667677930700258,87.91532581348424,193,6.699999999999999
Jaipur,27.183312203745825,75.39389825313377,178,7.7
Pune,18.748588756203603,73.8521913162062,149,14.6
Surat,21.12988151276113,72.40703341036964,161,12.4
Kolkata,22.344745137229964,88.45413066686909,178,8.2
Chennai,12.674282073326635,80.68801357546225,156,11.4
Surat,21.360760232445642,72.85240066741358,136,14.9
Pune,18.77879241394568,73.99564938533426,126,16.9
Ahmedabad,23.24660332927314,72.70863157978948,157,10.8
Jaipur,27.31576381263603,75.93396491911716,195,6.0
Jaipur,27.356459339686616,75.3267268113685,179,7.6
Ahmedabad,23.521853499565836,72.62720658143718,171,9.4
Surat,20.98305485650559,72.45162257878647,131,15.4
Jaipur,26.60499902778563,75.40258202124728,192,6.300000000000001
Mumbai,19.32106454812022,72.43258261464648,164,11.6
Mumbai,19.09843457607117,73.02224665062583,143,13.7
Pune,18.2504088372877,73.47726688577728,143,15.2
Kolkata,22.768888775878143,88.20377496376807,182,7.800000000000001
Ahmedabad,22.83779033783061,72.61089129237533,178,8.7
Hyderabad,17.203752502932073,78.61259137643701,135,15.5
Surat,21.54686537786245,72.7486060840279,159,12.6
Surat,21.660541313341778,72.3313375235759,137,14.8
Mumbai,19.515067698512897,73.17648323577367,168,11.2
Bangalore,12.52428383597723,77.18314341061362,115,18.5
Pune,18.292086971069004,73.75498738397565,139,15.6
Jaipur,26.748770463828425,75.80981919163453,170,8.5
Delhi,28.224374113131397,77.06362215764078,209,4.1
Mumbai,18.87230812045599,72.61130775104992,154,12.6
Delhi,29.024239102057535,76.75410067722032,194,5.6
Delhi,28.50553014054036,76.83343755729686,216,3.4000000000000004
Chennai,12.67211100231226,80.18828077578493,163,10.7
Mumbai,18.743033946092076,73.36886862613699,137,14.3
Bangalore,13.309425735283245,77.32516919580502,109,19.1
Mumbai,18.96009061149125,72.41443193742661,132,14.8
Pune,18.37052525916673,73.4145426765634,132,16.3
Delhi,28.632160366676395,77.30627407243034,214,3.5999999999999996
Mumbai,19.067186340868627,73.37403577580673,132,14.8
Kolkata,22.29704057183666,88.08771761482262,184,7.6
Jaipur,27.30732144122784,76.14742681641792,180,7.5
Jaipur,26.803569766080383,75.56025937485632,198,5.699999999999999
Jaipur,26.456776663533237,76.13949353334701,178,7.7
Pune,18.95198948831899,74.09191265452345,143,15.2
Pune,18.273049093960882,73.36178213981803,114,18.1
Surat,21.202802519400763,73.29322197259205,137,14.8
Chennai,13.57417533514505,79.83221702623923,171,9.9
Kolkata,22.89728096592515,88.21170920790219,193,6.699999999999999
Pune,18.58613196399579,73.62372827016942,115,18.0
Pune,18.817826021606926,74.01515183465843,142,15.3
Jaipur,26.74640887874524,75.52599003130102,205,5.0
Hyderabad,17.074221539785007,78.86833713277035,150,14.0
Ahmedabad,22.527645170754717,72.8913469174081,179,8.6
Ahmedabad,22.68325989604831,72.88936702411905,163,10.2
Ahmedabad,22.715632864587295,72.15549822446798,176,8.9
Delhi,28.67374431230883,76.82484385678026,213,3.6999999999999993
Pune,18.83907942049984,73.4851487180932,128,16.7
Ahmedabad,23.063766578676113,73.034392003859,177,8.8
Chennai,12.68520972799068,80.70792848723646,171,9.9
Bangalore,12.539437059105172,77.39556356694682,116,18.4
Hyderabad,17.59357200460263,78.46027388843508,141,14.9
Surat,20.744894417757855,73.18351465919865,138,14.7
Bangalore,13.119173643401908,77.68899585922854,111,18.9
Ahmedabad,22.588126144574012,72.89291294740744,164,10.1
Kolkata,22.325108749688383,87.86492947984563,193,6.699999999999999
Mumbai,19.57312450015771,72.80388130223598,142,13.8
Jaipur,26.576023821191672,76.08210954874993,198,5.699999999999999
Bangalore,13.311547164672472,77.86742278001681,119,18.1
Hyderabad,17.01633512640938,78.85475432253229,147,14.3
Chennai,13.49222451094782,80.6280600920925,159,11.1
Hyderabad,17.6450940784381,78.42899876238091,120,17.0
Surat,21.564299203679134,72.56105460589109,159,12.6
Delhi,28.765566825375885,77.07752634372376,194,5.6
Pune,18.179645738279262,73.56040124927628,138,15.7
Chennai,12.736358038161114,80.22439363460529,146,12.4
Kolkata,22.869397827864027,88.15806797334348,183,7.699999999999999
Surat,21.286850314520738,73.12763729097618,149,13.6
Ahmedabad,22.64768579220255,72.75696528722897,185,8.0
Jaipur,26.61292472670034,75.77889454674144,191,6.4
Hyderabad,17.210925463952076,78.57696393888563,127,16.3
Delhi,28.125520539908102,76.78144688779456,197,5.300000000000001
Hyderabad,17.176662578709305,78.68168188612654,152,13.8
Hyderabad,17.792818652984643,78.71098530812641,143,14.7
Jaipur,26.654445015862528,76.27396259326714,201,5.4
Hyderabad,17.50315573431812,78.6891649705441,129,16.1
Pune,18.030170847419182,73.683161308244,111,18.4
Delhi,28.201766499144835,77.05962693120918,212,3.8000000000000007
Bangalore,12.829401350928272,77.41669470221933,137,16.3
Ahmedabad,22.723359089862296,72.76459394082268,164,10.1
Mumbai,18.61718349527927,73.04808545835442,169,11.1
Kolkata,22.96882130268504,88.45867663737694,168,9.2
Ahmedabad,23.135444174865608,72.37023588633731,161,10.4
Pune,18.967750462631038,73.98200466021395,129,16.6
Ahmedabad,23.183320118299253,72.62440145259195,155,11.0
Surat,21.454032553418863,72.81200383144899,138,14.7
Mumbai,18.636352083990566,72.62480323401014,142,13.8
Jaipur,27.284183566592205,75.50651398735805,205,5.0
Pune,18.89223277897312,73.7903553339564,141,15.4
Kolkata,22.234272544146805,87.88476113929154,178,8.2
Hyderabad,17.21731462535511,78.52917863571936,122,16.8
Surat,21.073461361123833,72.55166112492233,139,14.6
Delhi,28.954352406276936,76.88319333657826,200,5.0
Surat,21.412906521199982,72.75659333444808,128,15.7
Bangalore,12.976444881893018,77.63790052336329,131,16.9
Jaipur,26.851015419189594,76.01255766041514,205,5.0
Mumbai,19.173723565255866,73.17065609460563,168,11.2
Surat,21.662333316340675,72.61495452860865,136,14.9
Kolkata,22.695566583563483,88.49546022009253,174,8.6
Delhi,28.24546768512726,77.42482496468209,209,4.1
Ahmedabad,23.155040533226305,72.44424863718893,151,11.4
Ahmedabad,22.935531174647696,72.14053278618661,163,10.2
Pune,18.5998148993435,74.01932127900832,148,14.7
Hyderabad,17.537123245530438,78.29884805669644,147,14.3
Mumbai,19.433986253922708,72.38673040412955,130,15.0
Pune,18.619113980100106,73.75335977634357,132,16.3
Surat,20.743696747330013,72.50085790508754,134,15.1
Surat,21.33959040145936,72.47685656824476,129,15.6
Bangalore,13.059484371110388,78.04318335485144,119,18.1
Jaipur,27.017938157644885,75.64403205304001,181,7.4
Chennai,13.36449032984503,80.4760855941122,167,10.3
Hyderabad,17.09084121003677,78.09861961939772,133,15.7
Mumbai,18.698970808529626,72.60883091242765,155,12.5
Delhi,28.236009914010026,77.16119902828343,184,6.6
Delhi,28.621134808688392,76.7505728590504,199,5.1
Chennai,13.062597081592074,80.45666773598299,173,9.7
Jaipur,27.051519937815502,76.15521829452003,200,5.5
Pune,18.535996028579248,73.84554658025692,147,14.8
Bangalore,12.597341511806649,77.22731465381928,115,18.5
Mumbai,18.777853452122947,73.05113243332492,150,13.0
Delhi,28.844729474870878,76.86516384479218,217,3.3000000000000007
Chennai,13.5460468328204,80.02600652472843,140,13.0
Ahmedabad,23.501131287400533,72.4456967671398,179,8.6
Mumbai,18.820147290422376,73.2085771913417,169,11.1
Delhi,28.144287059696836,77.63994869550699,183,6.699999999999999
Delhi,28.71450954254624,77.64987535633807,193,5.699999999999999
Chennai,13.249671516990908,80.34788523671175,167,10.3
Mumbai,19.575413725770666,72.42591203886056,138,14.2
Delhi,28.520807960722873,77.57975345033726,188,6.199999999999999
Chennai,13.149716260986668,80.50914920925133,143,12.7
Mumbai,18.980140321651035,72.70473316156324,167,11.3
Kolkata,22.88044594194126,88.62618513477662,182,7.800000000000001
Kolkata,22.941500625540574,88.23957225188173,166,9.4
Jaipur,26.740781227885083,75.91750874832914,176,7.9
Chennai,12.963119704232799,80.31919972165149,172,9.8
Delhi,28.659586888495475,77.15341945275121,217,3.3000000000000007
Surat,21.25726170770115,72.49954438514273,138,14.7
Surat,21.429544327922866,72.83154530913075,145,14.0
Surat,21.62167855966599,73.17826736137258,152,13.3
Chennai,13.396466288319587,79.87961834184674,144,12.6
Mumbai,19.10262379726896,72.623769658798,165,11.5
Ahmedabad,23.335485738716095,72.78952307622649,170,9.5
Ahmedabad,22.953362091538033,72.96811428984012,164,10.1
Jaipur,27.06709308143135,75.6673745089372,173,8.2
Chennai,13.0618832294436,79.96525832318531,153,11.7
Bangalore,12.728376567720508,77.37947290196192,126,17.4
Kolkata,22.6535320532628,87.95352633915495,189,7.1
Mumbai,18.975905206804157,73.35442523866259,155,12.5
Jaipur,26.93488104051612,75.41052265417217,179,7.6
Ahmedabad,23.04766338366706,72.78044626172243,185,8.0
Bangalore,12.955145646719926,77.90059254977515,100,20.0
Pune,18.54689919415378,73.46900434441122,122,17.3
Ahmedabad,23.1604852057933,72.58657517033373,177,8.8
Jaipur,27.206143850380517,75.93390591342286,193,6.199999999999999
Surat,21.030972519110602,73.23699110478776,148,13.7
Delhi,28.35077055897448,77.48952551524387,203,4.699999999999999
Kolkata,22.923774260852774,88.53532466953061,184,7.6
Mumbai,19.342656135200407,72.52740396795696,134,14.6
Delhi,28.850773744944185,77.57179707754324,200,5.0
Delhi,28.292345965227774,77.0212717860488,214,3.5999999999999996
Ahmedabad,23.06919741271407,72.30334709611597,163,10.2
Jaipur,26.90916685885917,76.27508552021489,204,5.1
Ahmedabad,23.217644554047595,72.47571876810429,188,7.699999999999999
Jaipur,27.10483615132437,76.27855599370218,188,6.699999999999999
Bangalore,13.195938817128742,77.67298691700641,138,16.2
Bangalore,12.557258249596432,77.98879087466412,102,19.8
Jaipur,26.735771562115524,75.513956402227,208,4.699999999999999
Bangalore,12.91400993648067,77.92646311325142,104,19.6
Chennai,12.853847436500185,80.36351199165343,142,12.8
Hyderabad,17.115829189154013,78.44355864488037,141,14.9
Hyderabad,16.93733887578651,78.36517642348586,157,13.3
Delhi,29.109380490704257,77.15535235119765,187,6.300000000000001
Hyderabad,17.447296815877912,78.94432528450538,132,15.8
Jaipur,26.58287793817392,75.6967778530052,199,5.6
Jaipur,27.234206443901087,75.28853667975942,185,7.0
Pune,18.815849960789727,74.28387781947946,132,16.3
Kolkata,22.225016013330418,88.85638350215838,199,6.1
Pune,18.560357130280558,74.19873329437642,130,16.5
Bangalore,13.09518568800276,77.18372443211602,138,16.2
Delhi,28.72238641265979,77.21583843182049,213,3.6999999999999993
Bangalore,12.77472835594533,77.35771256991084,101,19.9
Jaipur,26.50004274676384,76.22425782303107,178,7.7
Delhi,28.419424310658023,77.10598151707428,202,4.800000000000001
Surat,21.27079433336062,72.8467794276965,159,12.6
Hyderabad,17.38196348290583,78.97885801482332,156,13.4
Bangalore,12.680110514357336,78.02519521464392,137,16.3
Mumbai,19.203950052772637,73.05200380640905,159,12.1
Hyderabad,17.026278049275508,78.19868249090224,133,15.7
Jaipur,26.734927977846418,75.31019382497612,196,5.9
Mumbai,18.799614434496313,73.3350228878946,147,13.3
Surat,21.492680563634362,72.46362467274186,157,12.8
Bangalore,13.077970944433376,77.23379802461753,115,18.5
Hyderabad,17.714332405141285,78.30423144787673,154,13.6
Jaipur,27.23760076741557,75.95360688583504,203,5.199999999999999
Pune,18.49863402304807,73.86280755484675,124,17.1
Bangalore,12.551565394359303,77.8713236304717,131,16.9
Bangalore,12.91111168863291,77.20026468426174,105,19.5
Mumbai,19.226201092398153,72.52972485312866,134,14.6
Kolkata,22.26438245559186,88.07565535066549,170,9.0
Mumbai,18.633780560996367,73.07273522885856,138,14.2
Ahmedabad,22.761680104215927,72.2136493686872,158,10.7
Kolkata,22.25036638785125,88.55551805556932,192,6.800000000000001
Bangalore,13.104789626013465,77.32349460484662,136,16.4
Ahmedabad,22.74330262978564,72.24515259566229,185,8.0
Hyderabad,17.311083383890374,78.1174103767402,154,13.6
Ahmedabad,23.04800462196864,72.55303484653486,156,10.9
Chennai,12.969778760335632,80.73452227548236,141,12.9
